Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Audio,Speech,Melspec,Chroma,Melodia
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1961.0,1960s,http://www.folkways.si.edu/rupert-clemendore-and-john-buddy-williams/last-night-the-landlord-nearly-killed-me/caribbean-world/music/track/smithsonian,15493_SampleAudio.wav,Speech/15493_SampleAudio.csv,Melspec/15493_SampleAudio.csv,Chroma/15493_SampleAudio.csv,Melodia/15493_SampleAudio.csv
Cuba,South America,South America,Cuba,,,,Caribbean|Latin|World,1955.0,1950s,http://www.folkways.si.edu/trio-lissabet/black-tears/caribbean-latin-world/music/track/smithsonian,15495_SampleAudio.wav,Speech/15495_SampleAudio.csv,Melspec/15495_SampleAudio.csv,Chroma/15495_SampleAudio.csv,Melodia/15495_SampleAudio.csv
Cuba,South America,South America,Cuba,,,,Caribbean|Latin|World,1955.0,1950s,http://www.folkways.si.edu/el-rancho-night-club-band-2/caribbean-latin-world/music/track/smithsonian,15502_SampleAudio.wav,Speech/15502_SampleAudio.csv,Melspec/15502_SampleAudio.csv,Chroma/15502_SampleAudio.csv,Melodia/15502_SampleAudio.csv
Cuba,South America,South America,Cuba,,,,Caribbean|Latin|World,1955.0,1950s,http://www.folkways.si.edu/el-rancho-night-club-band-3/caribbean-latin-world/music/track/smithsonian,15504_SampleAudio.wav,Speech/15504_SampleAudio.csv,Melspec/15504_SampleAudio.csv,Chroma/15504_SampleAudio.csv,Melodia/15504_SampleAudio.csv
Puerto Rico,South America,South America,Puerto Rico,,,,Caribbean|World,1964.0,1960s,http://www.folkways.si.edu/the-invaders/coqui/caribbean-world/music/track/smithsonian,15562_SampleAudio.wav,Speech/15562_SampleAudio.csv,Melspec/15562_SampleAudio.csv,Chroma/15562_SampleAudio.csv,Melodia/15562_SampleAudio.csv
Puerto Rico,South America,South America,Puerto Rico,,,,Caribbean|World,1964.0,1960s,http://www.folkways.si.edu/the-invaders/limbo/caribbean-world/music/track/smithsonian,15563_SampleAudio.wav,Speech/15563_SampleAudio.csv,Melspec/15563_SampleAudio.csv,Chroma/15563_SampleAudio.csv,Melodia/15563_SampleAudio.csv
Puerto Rico,South America,South America,Puerto Rico,,,,Caribbean|World,1964.0,1960s,http://www.folkways.si.edu/the-invaders/emmys-tune/caribbean-world/music/track/smithsonian,15565_SampleAudio.wav,Speech/15565_SampleAudio.csv,Melspec/15565_SampleAudio.csv,Chroma/15565_SampleAudio.csv,Melodia/15565_SampleAudio.csv
Puerto Rico,South America,South America,Puerto Rico,,,,Caribbean|World,1964.0,1960s,http://www.folkways.si.edu/the-invaders/island-in-the-sun/caribbean-world/music/track/smithsonian,15566_SampleAudio.wav,Speech/15566_SampleAudio.csv,Melspec/15566_SampleAudio.csv,Chroma/15566_SampleAudio.csv,Melodia/15566_SampleAudio.csv
Puerto Rico,South America,South America,Puerto Rico,,,,Caribbean|World,1964.0,1960s,http://www.folkways.si.edu/the-invaders/marengo-jenny/caribbean-world/music/track/smithsonian,15574_SampleAudio.wav,Speech/15574_SampleAudio.csv,Melspec/15574_SampleAudio.csv,Chroma/15574_SampleAudio.csv,Melodia/15574_SampleAudio.csv
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/romantico-quito/latin-world/music/track/smithsonian,15576_SampleAudio.wav,Speech/15576_SampleAudio.csv,Melspec/15576_SampleAudio.csv,Chroma/15576_SampleAudio.csv,Melodia/15576_SampleAudio.csv
